authors,title,publication_year,doi,url
André FreitasSeán O’RiainEdward Curry,A Distributional Semantic Search Infrastructure for Linked Dataspaces,2013,https://doi.org/10.1007/978-3-642-41242-4_27,http://link.springer.com/chapter/10.1007/978-3-642-41242-4_27
Lihua ZhaoRumana Ferdous MunneNatthawut KertkeidkachornRyutaro Ichise,Missing RDF Triples Detection and Correction in Knowledge Graphs,2017,https://doi.org/10.1007/978-3-319-70682-5_11,http://link.springer.com/chapter/10.1007/978-3-319-70682-5_11
Isabelle AugensteinSebastian PadóSebastian Rudolph,LODifier: Generating Linked Data from Unstructured Text,2012,https://doi.org/10.1007/978-3-642-30284-8_21,http://link.springer.com/chapter/10.1007/978-3-642-30284-8_21
Leslie F. Sikos Ph.D.,Querying,2015,https://doi.org/10.1007/978-1-4842-1049-9_7,http://link.springer.com/chapter/10.1007/978-1-4842-1049-9_7
Diego MoussallemTommaso SoruAxel-Cyrille Ngonga Ngomo,THOTH: Neural Translation and Enrichment of Knowledge Graphs,2019,https://doi.org/10.1007/978-3-030-30793-6_29,http://link.springer.com/chapter/10.1007/978-3-030-30793-6_29
Bernadette HylandDavid Wood,The Joy of Data - A Cookbook for Publishing Linked Government Data on the Web,2011,https://doi.org/10.1007/978-1-4614-1767-5_1,http://link.springer.com/chapter/10.1007/978-1-4614-1767-5_1
Mihály HéderIllés Solt,DBpedia Mashups,2013,https://doi.org/10.1007/978-3-642-36403-7_4,http://link.springer.com/chapter/10.1007/978-3-642-36403-7_4
Thomas Pellissier TanonMarcos Dias de AssunçãoEddy CaronFabian M. Suchanek,Demoing Platypus – A Multilingual Question Answering Platform for Wikidata,2018,https://doi.org/10.1007/978-3-319-98192-5_21,http://link.springer.com/chapter/10.1007/978-3-319-98192-5_21
Tatiana Lesnikova,Interlinking Cross-Lingual RDF Data Sets,2013,https://doi.org/10.1007/978-3-642-38288-8_49,http://link.springer.com/chapter/10.1007/978-3-642-38288-8_49
Endri Kacupaj,Explicable Question Answering,2020,https://doi.org/10.1007/978-3-030-62327-2_41,http://link.springer.com/chapter/10.1007/978-3-030-62327-2_41
Ekaterina LoginovaStalin VaranasiGünter Neumann,Towards Multilingual Neural Question Answering,2018,https://doi.org/10.1007/978-3-030-00063-9_26,http://link.springer.com/chapter/10.1007/978-3-030-00063-9_26
Xing NiuXinruo SunHaofen WangShu RongGuilin QiYong Yu,Zhishi.me - Weaving Chinese Linking Open Data,2011,https://doi.org/10.1007/978-3-642-25093-4_14,http://link.springer.com/chapter/10.1007/978-3-642-25093-4_14
Elizaveta ZiminaJyrki NummenmaaKalervo JärvelinJaakko PeltonenKostas StefanidisHeikki Hyyrö,GQA: Grammatical Question Answering for RDF Data,2018,https://doi.org/10.1007/978-3-030-00072-1_8,http://link.springer.com/chapter/10.1007/978-3-030-00072-1_8
Nikolaos KaralisGeorgios MandilarasManolis Koubarakis,Extending the YAGO2 Knowledge Graph with Precise Geospatial Knowledge,2019,https://doi.org/10.1007/978-3-030-30796-7_12,http://link.springer.com/chapter/10.1007/978-3-030-30796-7_12
Bert Van NuffelenValentina JanevMichael MartinVuk MijovicSebastian Tramp,Supporting the Linked Data Life Cycle Using an Integrated Tool Stack,2014,https://doi.org/10.1007/978-3-319-09846-3_6,http://link.springer.com/chapter/10.1007/978-3-319-09846-3_6
Renato De DonatoMartina GarofaloDelfina MalandrinoMaria Angela PellegrinoAndrea PettaVittorio Scarano,QueDI: From Knowledge Graph Querying to Data Visualization,2020,https://doi.org/10.1007/978-3-030-59833-4_5,http://link.springer.com/chapter/10.1007/978-3-030-59833-4_5
Sebastian WalterChristina UngerPhilipp Cimiano,A Corpus-Based Approach for the Induction of Ontology Lexica,2013,https://doi.org/10.1007/978-3-642-38824-8_9,http://link.springer.com/chapter/10.1007/978-3-642-38824-8_9
Anselmo PeñasChristina UngerAxel-Cyrille Ngonga Ngomo,Overview of CLEF Question Answering Track 2014,2014,https://doi.org/10.1007/978-3-319-11382-1_23,http://link.springer.com/chapter/10.1007/978-3-319-11382-1_23
Andreas L. Opdahl,Knowledge Graphs and Natural-Language Processing,2020,https://doi.org/10.1007/978-3-030-48099-8_4,http://link.springer.com/chapter/10.1007/978-3-030-48099-8_4
Daniel GerberAxel-Cyrille Ngonga Ngomo,Extracting Multilingual Natural-Language Patterns for RDF Predicates,2012,https://doi.org/10.1007/978-3-642-33876-2_10,http://link.springer.com/chapter/10.1007/978-3-642-33876-2_10
Michael K. Bergman,Knowledge Graphs and Bases,2018,https://doi.org/10.1007/978-3-319-98092-8_11,http://link.springer.com/chapter/10.1007/978-3-319-98092-8_11
Mohnish DubeySourish DasguptaAnkit SharmaKonrad HöffnerJens Lehmann,AskNow: A Framework for Natural Language Query Formalization in SPARQL,2016,https://doi.org/10.1007/978-3-319-34129-3_19,http://link.springer.com/chapter/10.1007/978-3-319-34129-3_19
Pavlos FafaliosYannis Tzitzikas,Exploratory Professional Search through Semantic Post-Analysis of Search Results,2014,https://doi.org/10.1007/978-3-319-12511-4_9,http://link.springer.com/chapter/10.1007/978-3-319-12511-4_9
Usman AkhtarJamil HussainSungyoung Lee,Medical Semantic Question Answering Framework on RDF Data Cubes,2017,https://doi.org/10.1007/978-3-319-66188-9_23,http://link.springer.com/chapter/10.1007/978-3-319-66188-9_23
Jan-Christoph KaloLeandra FichtelPhilipp EhlerWolf-Tilo Balke,KnowlyBERT - Hybrid Query Answering over Language Models and Knowledge Graphs,2020,https://doi.org/10.1007/978-3-030-62419-4_17,http://link.springer.com/chapter/10.1007/978-3-030-62419-4_17
Dennis DiefenbachMax De WildeSamantha Alipio,Wikibase as an Infrastructure for Knowledge Graphs: The EU Knowledge Graph,2021,https://doi.org/10.1007/978-3-030-88361-4_37,http://link.springer.com/chapter/10.1007/978-3-030-88361-4_37
Camille PradelDamien SileoÁlvaro RodrigoAnselmo PeñasEneko Agirre,Question Answering When Knowledge Bases are Incomplete,2020,https://doi.org/10.1007/978-3-030-58219-7_4,http://link.springer.com/chapter/10.1007/978-3-030-58219-7_4
Anisa RulaMatteo PalmonariAxel-Cyrille Ngonga NgomoDaniel GerberJens LehmannLorenz Bühmann,Hybrid Acquisition of Temporal Scopes for RDF Data,2014,https://doi.org/10.1007/978-3-319-07443-6_33,http://link.springer.com/chapter/10.1007/978-3-319-07443-6_33
Benedikt KämpgenTobias WellerSean O’RiainCraig WeberAndreas Harth,Accepting the XBRL Challenge with Linked Data for Financial Data Integration,2014,https://doi.org/10.1007/978-3-319-07443-6_40,http://link.springer.com/chapter/10.1007/978-3-319-07443-6_40
Olga A. NevzorovaNikita ZhiltsovAlexander KirillovichEvgeny Lipachev,"OntoMath
              
                PRO
               Ontology: A Linked Data Hub for Mathematics",2014,https://doi.org/10.1007/978-3-319-11716-4_9,http://link.springer.com/chapter/10.1007/978-3-319-11716-4_9
Haofen WangTianxing WuGuilin QiTong Ruan,On Publishing Chinese Linked Open Schema,2014,https://doi.org/10.1007/978-3-319-11964-9_19,http://link.springer.com/chapter/10.1007/978-3-319-11964-9_19
Krzysztof JanowiczYingjie HuGrant McKenzieSong GaoBlake RegaliaGengchen MaiRui ZhuBenjamin AdamsKerry Taylor,Moon Landing or Safari? A Study of Systematic Errors and Their Causes in Geographic Linked Data,2016,https://doi.org/10.1007/978-3-319-45738-3_18,http://link.springer.com/chapter/10.1007/978-3-319-45738-3_18
Jean-Pierre EvainMike MattonTormod Vaervagen,Wikipedia and DBpedia for Media - Managing Audiovisual Resources in Their Semantic Context,2017,https://doi.org/10.1007/978-3-319-68723-0_4,http://link.springer.com/chapter/10.1007/978-3-319-68723-0_4
Aldo GangemiAndrea Giovanni NuzzoleseValentina PresuttiFrancesco DraicchioAlberto MusettiPaolo Ciancarini,Automatic Typing of DBpedia Entities,2012,https://doi.org/10.1007/978-3-642-35176-1_5,http://link.springer.com/chapter/10.1007/978-3-642-35176-1_5
Ernesto Jiménez-RuizOktie HassanzadehVasilis EfthymiouJiaoyan ChenKavitha Srinivas,SemTab 2019: Resources to Benchmark Tabular Data to Knowledge Graph Matching Systems,2020,https://doi.org/10.1007/978-3-030-49461-2_30,http://link.springer.com/chapter/10.1007/978-3-030-49461-2_30
Mohamad Yaser JaradehMarkus StockerSören Auer,Question Answering on Scholarly Knowledge Graphs,2020,https://doi.org/10.1007/978-3-030-54956-5_2,http://link.springer.com/chapter/10.1007/978-3-030-54956-5_2
Denis KrompaßStephan BaierVolker Tresp,Type-Constrained Representation Learning in Knowledge Graphs,2015,https://doi.org/10.1007/978-3-319-25007-6_37,http://link.springer.com/chapter/10.1007/978-3-319-25007-6_37
Rricha JalotaPriyansh TrivediGaurav MaheshwariAxel-Cyrille Ngonga NgomoRicardo Usbeck,An Approach for Ex-Post-Facto Analysis of Knowledge Graph-Driven Chatbots – The DBpedia Chatbot,2020,https://doi.org/10.1007/978-3-030-39540-7_2,http://link.springer.com/chapter/10.1007/978-3-030-39540-7_2
Alex StolzMartin HeppRoy A. Boggs,Linked Open Data for Linguists: Publishing the Hartmann von Aue-Portal in RDF,2017,https://doi.org/10.1007/978-3-319-69459-7_20,http://link.springer.com/chapter/10.1007/978-3-319-69459-7_20
Denis Andrei de AraujoSandro José RigoPaulo QuaresmaJoão Henrique Muniz,A Portuguese Dataset for Evaluation of Semantic Question Answering,2020,https://doi.org/10.1007/978-3-030-41505-1_21,http://link.springer.com/chapter/10.1007/978-3-030-41505-1_21
Natanael ArndtSebastian ZänkerGezim SejdiuSebastian Tramp,Jekyll RDF: Template-Based Linked Data Publication with Minimized Effort and Maximum Scalability,2019,https://doi.org/10.1007/978-3-030-19274-7_24,http://link.springer.com/chapter/10.1007/978-3-030-19274-7_24
Mathias Niepert,Statistical Relational Data Integration for Information Extraction,2013,https://doi.org/10.1007/978-3-642-39784-4_7,http://link.springer.com/chapter/10.1007/978-3-642-39784-4_7
Jaap KampsMarijn KoolenShlomo GevaRalf SchenkelEric SanJuanToine Bogers,From XML Retrieval to Semantic Search and Beyond,2019,https://doi.org/10.1007/978-3-030-22948-1_17,http://link.springer.com/chapter/10.1007/978-3-030-22948-1_17
Alessio Palmero AprosioClaudio GiulianoAlberto Lavelli,Automatic Expansion of DBpedia Exploiting Wikipedia Cross-Language Information,2013,https://doi.org/10.1007/978-3-642-38288-8_27,http://link.springer.com/chapter/10.1007/978-3-642-38288-8_27
Zhijia FangHaofen WangJorge GraciaJulia Bosque-GilTong Ruan,Zhishi.lemon: On Publishing Zhishi.me as Linguistic Linked Open Data,2016,https://doi.org/10.1007/978-3-319-46547-0_6,http://link.springer.com/chapter/10.1007/978-3-319-46547-0_6
Qingliang MiaoRuiyu FangLu FangYao MengChenying LiMingjie HanYong Zhao,"LD2LD: Integrating, Enriching and Republishing Library Data as Linked Data",2016,https://doi.org/10.1007/978-981-10-3168-7_16,http://link.springer.com/chapter/10.1007/978-981-10-3168-7_16
Fedelucio NarducciMatteo PalmonariGiovanni Semeraro,Cross-Language Semantic Retrieval and Linking of E-Gov Services,2013,https://doi.org/10.1007/978-3-642-41338-4_9,http://link.springer.com/chapter/10.1007/978-3-642-41338-4_9
Kun XuYansong FengSongfang HuangDongyan Zhao,Question Answering via Phrasal Semantic Parsing,2015,https://doi.org/10.1007/978-3-319-24027-5_43,http://link.springer.com/chapter/10.1007/978-3-319-24027-5_43
Yulin ShenZiheng ChenGong ChengYuzhong Qu,CKGG: A Chinese Knowledge Graph for High-School Geography Education and Beyond,2021,https://doi.org/10.1007/978-3-030-88361-4_25,http://link.springer.com/chapter/10.1007/978-3-030-88361-4_25
Laurette Pretorius,The Multilingual Semantic Web as Virtual Knowledge Commons: The Case of the Under-Resourced South African Languages,2014,https://doi.org/10.1007/978-3-662-43585-4_4,http://link.springer.com/chapter/10.1007/978-3-662-43585-4_4
Kuldeep SinghIoanna LytraMaria-Esther VidalDharmen PunjaniHarsh ThakkarChristoph LangeSören Auer,QAestro – Semantic-Based Composition of Question Answering Pipelines,2017,https://doi.org/10.1007/978-3-319-64468-4_2,http://link.springer.com/chapter/10.1007/978-3-319-64468-4_2
