authors	title	abstract	publication_year	doi	url	IS_ACCEPTED
Bast, Hannah and Haussmann, Elmar	More Accurate Question Answering on Freebase	Real-world factoid or list questions often have a simple structure, yet are hard to match to facts in a given knowledge base due to high representational and linguistic variability. For example, to answer "who is the ceo of apple" on Freebase requires a match to an abstract "leadership" entity with three relations "role", "organization" and "person", and two other entities "apple inc" and "managing director". Recent years have seen a surge of research activity on learning-based solutions for this method. We further advance the state of the art by adopting learning-to-rank methodology and by fully addressing the inherent entity recognition problem, which was neglected in recent works.We evaluate our system, called Aqqu, on two standard benchmarks, Free917 and WebQuestions, improving the previous best result for each benchmark considerably. These two benchmarks exhibit quite different challenges, and many of the existing approaches were evaluated (and work well) only for one of them. We also consider efficiency aspects and take care that all questions can be answered interactively (that is, within a second). Materials for full reproducibility are available on our website: http://ad.informatik.uni-freiburg.de/publications.	2015	https://doi.org/10.1145/2806416.2806472	https://doi.org/10.1145/2806416.2806472	FALSE
Al-Nazer, Ahmed and Helmy, Tarek	Toward a Cross-Cultural and Cross-Language Multi-Agent Recommendation Model for Food and Nutrition	In this paper, we present our efforts to develop a multi-agent-based framework for cross-cultural and cross-language personalized health and nutrition semantic search. Many agents that share either the same culture or same language or same health profile could share valuable information found through their semantic search. Their interests in a common viewpoint have some similarities which could be used to shorten the learning curve and give good search results effectively. Each agent is representing a user with a specific culture, language and personal health profile. What an agent likes as culture is likely similar to a different agent with the same culture. The same thing applies with language and health profiles. For example, an agent with a diabetes profile could help another agent that has a similar health profile with its valuable findings. We introduce how multi-agents could team up to contribute to each other, learn from each other, and share valuable information with each other using collaborative profile ontology. We propose a cross-cultural, cross-language, health- and nutrition-based ontology profile that could be used as the basis for collaboration between different agents.	2012	https://doi.org/10.1109/WI-IAT.2012.263	https://doi.org/10.1109/WI-IAT.2012.263	FALSE
Rumi\'{n}ski, Dariusz and Walczak, Krzysztof	An Architecture for Distributed Semantic Augmented Reality Services	In this paper, we present an architecture for distributed augmented reality (AR) services. The presented architecture is based on a client-server design, which supports semantic modeling and building contextual AR presentations for a large number of users. It encompasses two approaches: SOA and CARE. The Service-Oriented Architecture enables building distributed systems that provide application functionality as services to either end-user applications or other services. In turn, CARE allows semantic modeling of AR environments, which combined with SOA enables dividing responsibility between loosely coupled semantic services distributed on the internet. We also provide the results of an experimental evaluation of the performance of a prototype based on the above-mentioned architecture. The findings are promising and demonstrate that an application of semantic web techniques can be an effective approach to implementation of large-scale contextual distributed AR services.	2018	https://doi.org/10.1145/3208806.3208829	https://doi.org/10.1145/3208806.3208829	FALSE
Metzger, Steffen and Elbassuoni, Shady and Hose, Katja and Schenkel, Ralf	S3K: Seeking Statement-Supporting Top-K Witnesses	Traditional information retrieval techniques based on keyword search help to identify a ranked set of relevant documents, which often contains many documents in the top ranks that do not meet the user's intention. By considering the semantics of the keywords and their relationships, both precision and recall can be improved. Using an ontology and mapping keywords to entities/concepts and identifying the relationship between them that the user is interested in, allows for retrieving documents that actually meet the user's intention. In this paper, we present a framework that enables semantic-aware document retrieval. User queries are mapped to semantic statements based on entities and their relationships. The framework searches for documents expressing these statements in different variations, e.g., synonymous names for entities or different textual expressions for relations between them. The size of potential result sets makes ranking documents according to their relevance to the user an essential component of such a system. The ranking model proposed in this paper is based on statistical language-models and considers aspects such as the authority of a document and the confidence in the textual pattern representing the queried information.	2011	https://doi.org/10.1145/2063576.2063587	https://doi.org/10.1145/2063576.2063587	FALSE
Bharadwaj, S. and Chiticariu, L. and Danilevsky, M. and Dhingra, S. and Divekar, S. and Carreno-Fuentes, A. and Gupta, H. and Gupta, N. and Han, S.-D. and Hern\'{a}ndez, M. and Ho, H. and Jain, P. and Joshi, S. and Karanam, H. and Krishnan, S. and Krishnamurthy, R. and Li, Y. and Manivannan, S. and Mittal, A. and \"{O}zcan, F. and Quamar, A. and Raman, P. and Saha, D. and Sankaranarayanan, K. and Sen, J. and Sen, P. and Vaithyanathan, S. and Vasa, M. and Wang, H. and Zhu, H.	Creation and Interaction with Large-Scale Domain-Specific Knowledge Bases	The ability to create and interact with large-scale domain-specific knowledge bases from unstructured/semi-structured data is the foundation for many industry-focused cognitive systems. We will demonstrate the Content Services system that provides cloud services for creating and querying high-quality domain-specific knowledge bases by analyzing and integrating multiple (un/semi)structured content sources. We will showcase an instantiation of the system for a financial domain. We will also demonstrate both cross-lingual natural language queries and programmatic API calls for interacting with this knowledge base.	2017	https://doi.org/10.14778/3137765.3137820	https://doi.org/10.14778/3137765.3137820	FALSE
Chechev, Milen and Gonz\`{a}lez, Meritxell and M\`{a}rquez, Llu\'{\i}s and Espa\~{n}a-Bonet, Cristina	The Patents Retrieval Prototype in the MOLTO Project	This paper describes the patents retrieval prototype developed within the MOLTO project. The prototype aims to provide a multilingual natural language interface for querying the content of patent documents. The developed system is focused on the biomedical and pharmaceutical domain and includes the translation of the patent claims and abstracts into English, French and German. Aiming at the best retrieval results of the patent information and text content, patent documents are preprocessed and semantically annotated. Then, the annotations are stored and indexed in an OWLIM semantic repository, which contains a patent specific ontology and others from different domains. The prototype, accessible online at http://molto-patents.ontotext.com, presents a multilingual natural language interface to query the retrieval system. In MOLTO, the multilingualism of the queries is addressed by means of the GF Tool, which provides an easy way to build and maintain controlled language grammars for interlingual translation in limited domains. The abstract representation obtained from the GF is used to retrieve both the matched RDF instances and the list of patents semantically related to the user's search criteria. The online interface allows to browse the retrieved patents and shows on the text the semantic annotations that explain the reason why any particular patent has matched the user's criteria.	2012	https://doi.org/10.1145/2187980.2188016	https://doi.org/10.1145/2187980.2188016	FALSE
Tran, Nam Khanh and Nieder\'{e}e, Claudia	A Neural Network-Based Framework for Non-Factoid Question Answering	In this paper, we present a neural network based framework for answering non-factoid questions. The framework consists of two main components: Answer Retriever and Answer Ranker. In the first component, we leverage off-the-shelf retrieval models (e.g. bm25) to retrieve a pool of candidate answers regarding to the input question. Answer Ranker is then used to select the most suitable answer. In this work, we adopt two typical deep learning based frameworks for our Answer Ranker component. One is based on Siamese architecture and the other is the Compare-Aggregate framework. The Answer Ranker component is evaluated separately based on popular answer selection datasets. Our overall system is evaluated using FiQA dataset, a newly released dataset for financial domain and shows promising results.	2018	https://doi.org/10.1145/3184558.3191830	https://doi.org/10.1145/3184558.3191830	FALSE
Moussallem, Diego and Ngonga Ngomo, Axel-Cyrille and Buitelaar, Paul and Arcan, Mihael	Utilizing Knowledge Graphs for Neural Machine Translation Augmentation	While neural networks have led to substantial progress in machine translation, their success depends heavily on large amounts of training data. However, parallel training corpora are not always readily available. Moreover, out-of-vocabulary words---mostly entities and terminological expressions---pose a difficult challenge to Neural Machine Translation systems. Recent efforts have tried to alleviate the data sparsity problem by augmenting the training data using different strategies, such as external knowledge injection. In this paper, we hypothesize that knowledge graphs enhance the semantic feature extraction of neural models, thus optimizing the translation of entities and terminological expressions in texts and consequently leading to better translation quality. We investigate two different strategies for incorporating knowledge graphs into neural models without modifying the neural network architectures. Additionally, we examine the effectiveness of our augmented models on domain-specific texts and ontologies. Our knowledge-graph-augmented neural translation model, dubbed KG-NMT, achieves significant and consistent improvements of +3 BLEU, METEOR and chrF3 on average on the newstest datasets between 2015 and 2018 for the WMT English-German translation task.	2019	https://doi.org/10.1145/3360901.3364423	https://doi.org/10.1145/3360901.3364423	FALSE
Bonacin, Rodrigo and Nabuco, Olga Fernanda and Junior, Ivo Pierozzi	Conceptualizing the Impacts of Agriculture on Water Resources: Experiences and Ontology Engineering Challenges	Water is no longer considered an unlimited resource. As a matter of fact, many studies have shown a recent increase of water scarcity. By far, the largest demand for water resources comes from agricultural activities. Various researchers from multidisciplinary fields address the impacts of agricultural activities on water resources, as well as the impacts from possible climatic changes. In this context, the Embrapa's research network AgroHidro aims to support integration and information sharing among a range of institutions and researchers. In this paper, we present the first version of a Web Ontology to represent key aspects of this problem. The objective is to provide the basis for computational mechanisms in support of knowledge sharing and recovery, e.g., semantic search, text mining and visualization techniques. The paper also discusses the reuse and integration strategies, limitations, and challenges to be faced in the ontology engineering process.	2013	https://doi.org/10.1145/2536146.2536185	https://doi.org/10.1145/2536146.2536185	FALSE
Bhattacharya, Paheli and Goyal, Pawan and Sarkar, Sudeshna	Using Communities of Words Derived from Multilingual Word Vectors for Cross-Language Information Retrieval in Indian Languages	We investigate the use of word embeddings for query translation to improve precision in cross-language information retrieval (CLIR). Word vectors represent words in a distributional space such that syntactically or semantically similar words are close to each other in this space. Multilingual word embeddings are constructed in such a way that similar words across languages have similar vector representations. We explore the effective use of bilingual and multilingual word embeddings learned from comparable corpora of Indic languages to the task of CLIR.We propose a clustering method based on the multilingual word vectors to group similar words across languages. For this we construct a graph with words from multiple languages as nodes and with edges connecting words with similar vectors. We use the Louvain method for community detection to find communities in this graph. We show that choosing target language words as query translations from the clusters or communities containing the query terms helps in improving CLIR. We also find that better-quality query translations are obtained when words from more languages are used to do the clustering even when the additional languages are neither the source nor the target languages. This is probably because having more similar words across multiple languages helps define well-defined dense subclusters that help us obtain precise query translations.In this article, we demonstrate the use of multilingual word embeddings and word clusters for CLIR involving Indic languages. We also make available a tool for obtaining related words and the visualizations of the multilingual word vectors for English, Hindi, Bengali, Marathi, Gujarati, and Tamil.	2018	https://doi.org/10.1145/3208358	https://doi.org/10.1145/3208358	FALSE
Jagarlamudi, Jagadeesh and Bennett, Paul N. and Svore, Krysta M.	Leveraging Interlingual Classification to Improve Web Search	In this paper we address the problem of improving accuracy of web search in a smaller, data-limited search market (search language) using behavioral data from a larger, data-rich market (assist language). Specifically, we use interlingual classification to infer the search language query's intent using the assist language click-through data. We use these improved estimates of query intent, along with the query intent based on the search language data, to compute features that encode the similarity between a search result (URL) and the query. These features are subsequently fed into the ranking model to improve the relevance ranking of the documents. Our experimental results on German and French languages show the effectiveness of using assist language behavioral data especially, when the search language queries have small click-through data.	2012	https://doi.org/10.1145/2187980.2188114	https://doi.org/10.1145/2187980.2188114	FALSE
Jin, Qiao and Yuan, Zheng and Xiong, Guangzhi and Yu, Qianlan and Ying, Huaiyuan and Tan, Chuanqi and Chen, Mosha and Huang, Songfang and Liu, Xiaozhong and Yu, Sheng	Biomedical Question Answering: A Survey of Approaches and Challenges	Automatic Question Answering (QA) has been successfully applied in various domains such as search engines and chatbots. Biomedical QA (BQA), as an emerging QA task, enables innovative applications to effectively perceive, access, and understand complex biomedical knowledge. There have been tremendous developments of BQA in the past two decades, which we classify into five distinctive approaches: classic, information retrieval, machine reading comprehension, knowledge base, and question entailment approaches. In this survey, we introduce available datasets and representative methods of each BQA approach in detail. Despite the developments, BQA systems are still immature and rarely used in real-life settings. We identify and characterize several key challenges in BQA that might lead to this issue, and we discuss some potential future directions to explore.	2022	https://doi.org/10.1145/3490238	https://doi.org/10.1145/3490238	TRUE
Vertan, Cristina	Two Approaches for Integrating Translation and Retrieval in Real Applications	In this paper we present two approaches for integrating translation into cross-lingual search engines: the first approach relies on term translation via a language ontology, the other one is based on machine translation of specific information.	2012			FALSE
Singh, Kuldeep and Mulang', Isaiah Onando and Lytra, Ioanna and Jaradeh, Mohamad Yaser and Sakor, Ahmad and Vidal, Maria-Esther and Lange, Christoph and Auer, S\"{o}ren	Capturing Knowledge in Semantically-Typed Relational Patterns to Enhance Relation Linking	Transforming natural language questions into formal queries is an integral task in Question Answering (QA) systems. QA systems built on knowledge graphs like DBpedia, require a step after natural language processing for linking words, specifically including named entities and relations, to their corresponding entities in a knowledge graph. To achieve this task, several approaches rely on background knowledge bases containing semantically-typed relations, e.g., PATTY, for an extra disambiguation step. Two major factors may affect the performance of relation linking approaches whenever background knowledge bases are accessed: a) limited availability of such semantic knowledge sources, and b) lack of a systematic approach on how to maximize the benefits of the collected knowledge. We tackle this problem and devise SIBKB, a semantic-based index able to capture knowledge encoded on background knowledge bases like PATTY. SIBKB represents a background knowledge base as a bi-partite and a dynamic index over the relation patterns included in the knowledge base. Moreover, we develop a relation linking component able to exploit SIBKB features. The benefits of SIBKB are empirically studied on existing QA benchmarks and observed results suggest that SIBKB is able to enhance the accuracy of relation linking by up to three times.	2017	https://doi.org/10.1145/3148011.3148031	https://doi.org/10.1145/3148011.3148031	FALSE
Buscaldi, Davide and Zargayouna, Ha\"{\i}fa	YaSemIR: Yet Another Semantic Information Retrieval System	In this paper we present YaSemIR, a free open-source Semantic Information Retrieval system based on Lucene. It takes one or more ontologies in OWL format and a terminology associated to each ontology in SKOS format to index semantically a text collection. The terminology is used to annotate concepts in documents, while the ontology is used to exploit the taxonomic information in order to expand these with their subsumers. YaSemIR is a flexible system that may be configured to work with different ontologies, on various types of documents.	2013	https://doi.org/10.1145/2513204.2513211	https://doi.org/10.1145/2513204.2513211	FALSE
Maia, Macedo and Handschuh, Siegfried and Freitas, Andr\'{e} and Davis, Brian and McDermott, Ross and Zarrouk, Manel and Balahur, Alexandra	WWW'18 Open Challenge: Financial Opinion Mining and Question Answering	The growing maturity of Natural Language Processing (NLP) techniques and resources is dramatically changing the landscape of many application domains which are dependent on the analysis of unstructured data at scale. The finance domain, with its reliance on the interpretation of multiple unstructured and structured data sources and its demand for fast and comprehensive decision making is already emerging as a primary ground for the experimentation of NLP, Web Mining and Information Retrieval (IR) techniques for the automatic analysis of financial news and opinions online. This challenge focuses on advancing the state-of-the-art of aspect-based sentiment analysis and opinion-based Question Answering for the financial domain.	2018	https://doi.org/10.1145/3184558.3192301	https://doi.org/10.1145/3184558.3192301	FALSE
Tatu, Marta and Werner, Steven and Balakrishna, Mithun and Erekhinskaya, Tatiana and Moldovan, Dan	Semantic Question Answering on Big Data	This article describes a high-precision semantic question answering (SQA) engine for large datasets. We employ an RDF store to index the semantic information extracted from large document collections and a natural language to SPARQL conversion module to find desired information. In order to be able to find answers to complex questions in structured/unstructured data resources, our system produces rich semantic structures from the data resources and then transforms the extracted knowledge into an RDF representation. In order to facilitate easy access to the information stored in the RDF semantic index, our system accepts a user's natural language questions, translates them into SPARQL queries and returns a precise answer back to the user. Our improvements in performance over a regular free text search index-based question answering engine prove that SQA can benefit greatly from the addition and consumption of deep semantic information.	2016	https://doi.org/10.1145/2928294.2928302	https://doi.org/10.1145/2928294.2928302	FALSE
Kolikipogu, Ramakrishna and Rani, B. Padmaja and Kakulapati, Vijayalakshmi	Reformulation of Telugu Web Query Using Word Semantic Relationships	Use of Internet becomes more popular in India to avail the information needs. A major area of Information browsing includes Education, Medical, Agriculture, Geographical, Business and other social domains. Availability of electronic documents for Indian Language is growing day by day. The people living throughout India speak different languages. The government of India has given "languages of the 8th Schedule" official status for 22 languages. Compare to European languages and other Indian languages, processing of Telugu language electronic documents is more difficult in nature. This is due to multi --- encoding formats of the text. Indian languages are encoded using Unicode, ISCII. To fasten the retrieval process the Unicode or ISCII is need to be converted into simple and standard encoding which makes Information Retrieval as easy task. Once the information processing system is build for a mono-lingual, it is the base to go for Multi-lingual and Cross --- lingual information processing. In Information Retrieval process users expects exact results for the given query. It depends on the vocabulary expertization of the end user in building the root query. Word mismatch is common problem of all languages in Information Retrieval process. Query Expansion gives a solution to the word mismatch problem. In Query Expansion the top ranked documents are used to expand the query terms. Sometimes user need to judge the relevance of the expanded query to iterate search. The relevance judgment of the user depends on the knowledge (i.e Language knowledge to describe the con text of the query) of the user. If the con cept hierarchy is properly defined, then user involvement is void in this scenario. This can be easily test on English language, but applying Query Reformulation technique directly on Indian languages is not stands good, because the nature of Indian languages is not simple like English. The Paper is aimed to reduce the mismatch between user query and retrieved documents by using semantic relationships between query terms and document terms. To test the proposed model, Telugu language, one of the Indian languages is taken as a case study. True translation from English to Telugu and vice versa is not possible due to high word conflation in Indian languages. This paper is an attempt to adopt Semantic Network with semantic relationships between terms of a query to reformulate and iterate the search. Method of Relevance Feedback improves recall without compromising precision, but it works well on limited corpus. Reformulation of query by embedding WordNet, ConceptNet relationsh ips gave better results, but great fall of precision is observed. Comparison between initial query test results and reformulated query search results are made in result analysis.	2012	https://doi.org/10.1145/2345396.2345523	https://doi.org/10.1145/2345396.2345523	FALSE
Surdeanu, Mihai and Ciaramita, Massimiliano and Zaragoza, Hugo	Learning to Rank Answers to Non-Factoid Questions from Web Collections	This work investigates the use of linguistically motivated features to improve search, in particular for ranking answers to non-factoid questions. We show that it is possible to exploit existing large collections of question-answer pairs (from online social Question Answering sites) to extract such features and train ranking models which combine them effectively. We investigate a wide range of feature types, some exploiting natural language processing such as coarse word sense disambiguation, named-entity identification, syntactic parsing, and semantic role labeling. Our experiments demonstrate that linguistic features, in combination, yield considerable improvements in accuracy. Depending on the system settings we measure relative improvements of 14% to 21% in Mean Reciprocal Rank and Precision@1, providing one of the most compelling evidence to date that complex linguistic features such as word senses and semantic roles can have a significant impact on large-scale information retrieval tasks.	2011	https://doi.org/10.1162/COLI_a_00051	https://doi.org/10.1162/COLI_a_00051	FALSE
