authors	title	abstract	publication_year	doi/url	DL	IS_ACCEPTED	publisher	paper_type	problem	approach	solution	languages	KGs	datasets	metrics	technologies	challenges/future work	source code	demo	comments
Vladislav Korablinov Pavel Braslavski	RuBQ: A Russian Dataset for Question Answering over Wikidata	The paper presents RuBQ, the first Russian knowledge base question answering (KBQA) dataset. The high-quality dataset consists of 1,500 Russian questions of varying complexity, their English machine translations, SPARQL queries to Wikidata, reference answers, as well as a Wikidata sample of triples containing entities with Russian labels. The dataset creation started with a large collection of question-answer pairs from online quizzes. The data underwent automatic filtering, crowd-assisted entity linking, automatic generation of SPARQL queries, and their subsequent in-house verification.  The freely available dataset will be of interest for a wide community of researchers and practitioners in the areas of Semantic Web, NLP, and IR, especially for those working on multilingual question answering. The proposed dataset generation pipeline proved to be efficient and can be employed in other data annotation projects.	2020	https://doi.org/10.1007/978-3-030-62466-8_7	Springer	TRUE	ISWC 2020	Dataset	Multilingual KBQA has received a deal of attention in the literature. However, almost all available KBQA datasets are English, Chinese datasets being an exception. Existing multilingual QALD datasets are rather small. No Russian KBQA/Semantic Parsing dataset was ever published	Collect the dataset in multiple languages including Russian via collecting question from quizes and multi-step approach including crowd-workers and machine translation.	Raw questions gathered from open Russian quiz collections. Thereafter self-implemented entity linking tool was used and results of entity linking were validated with crowd-workers using Yandex Toloka. Then, Path Generation and In-house Annotation were used to finalize the data. The original Russian questions were machine-translated with Yandex Translate to English.	Russian, English	Wikidata	RuBQ 1.0	answerable correct, answerable incorrect, unanswerable correct, unanswerable incorrect	Elasticsearch, Yandex Toloka, Yandex Translate, Python	Explore other data sources and approaches for RuBQ expansion: search query suggest APIs, a large question log, and Wikidata SPARQL query logs. Also address complex questions and questions with literals as answers, as well as the creation of a stronger baseline for RuBQ.	https://github.com/vladislavneon/RuBQ/tree/master/RuBQ_1.0		The dataset is biased towards Russian-specific entities. The machine-translated English is also doubtful. No common QA quality metrics were presented
Christina Unger André Freitas Philipp Cimiano	An Introduction to Question Answering over Linked Data		2014	https://doi.org/10.1007/978-3-319-10587-1_2	Springer	FALSE														
Ivan Rybin Vladislav Korablinov Pavel Efimov Pavel Braslavski	RuBQ 2.0: An Innovated Russian Question Answering Dataset	The paper describes the second version of RuBQ, a Russian dataset for knowledge base question answering (KBQA) over Wikidata. Whereas the first version builds on Q&A pairs harvested online, the extension is based on questions obtained through search engine query suggestion services. The questions underwent crowdsourced and in-house annotation in a quite different fashion compared to the first edition. The dataset doubled in size: RuBQ 2.0 contains 2,910 questions along with the answers and SPARQL queries. The dataset also incorporates answer-bearing paragraphs from Wikipedia for the majority of questions. The dataset is suitable for the evaluation of KBQA, machine reading comprehension (MRC), hybrid questions answering, as well as semantic parsing. We provide the analysis of the dataset and report several KBQA and MRC baseline results. The dataset is freely available under the CC-BY-4.0 license.	2021	https://doi.org/10.1007/978-3-030-77385-4_32	Springer	TRUE	ESWC 2021	Dataset	Available KBQA datasets are much scarcer than MRC; there are very few non-English datasets among them (see Section 2 for details). Russian is among top-10 languages by its L1 and L2 speakers; it has a Cyrillic script and a number of grammar features that make it quite different from e.g. English and Chinese – the languages most frequently used in NLP and Semantic Web research	Expand the dataset in multiple languages including Russian via collecting questions from query suggestion services and multi-step approach including crowd-workers and machine translation.	Raw questions gathered from the query suggestions by Google and Yandex based on previously generated query prefixes. Thereafter self-implemented entity linking tool was used and results of entity linking were validated with crowd-workers using Yandex Toloka. Then, Path Generation and In-house Annotation were used to finalize the data. The original Russian questions were machine-translated with Yandex Translate to English. The MRC part of the dataset was generated according to authors approach based on the wikipedia articles.	Russian, English	Wikidata	RuBQ 1.0, RuBQ 2.0	answerable correct, answerable incorrect, unanswerable correct, unanswerable incorrect	Elasticsearch, Yandex Toloka, Yandex Translate, Python	Disadvantage of query suggestion services as a source of questions is that we have very little control over the questions’ selection criteria, as well as a limited number of returned suggestions for each input. In addition, the services rank the returned queries by their popularity, which may result in shorter, simpler, and less varied questions. 	https://github.com/vladislavneon/RuBQ/tree/master/RuBQ_2.0		The dataset is still biased towards Russian-specific entities. The machine-translated English is also doubtful. No common QA quality metrics were presented
Philipp Cimiano Vanessa Lopez Christina Unger Elena Cabrio Axel-Cyrille Ngonga Ngomo Sebastian Walter	Multilingual Question Answering over Linked Data (QALD-3): Lab Overview	The third edition of the open challenge on Question Answering over Linked Data (QALD-3) has been conducted as a half-day lab at CLEF 2013. Differently from previous editions of the challenge, has put a strong emphasis on multilinguality, offering two tasks: one on multilingual question answering and one on ontology lexicalization. While no submissions were received for the latter, the former attracted six teams who submitted their systems’ results on the provided datasets. This paper provides an overview of QALD-3, discussing the approaches proposed by the participating systems as well as the obtained results.	2013	https://doi.org/10.1007/978-3-642-40802-1_30	Springer	TRUE	CLEF 2013	Dataset	The key challenge lies in translating the users’ information needs into a form such that they can be evaluated using standard Semantic Web query processing and inferencing techniques. To this end, systemshave to deal with a heterogeneous, distributed and very large set of highly in-terconnected data. multilinguality has become an issue of major interest for the Semantic Web community, as both the number of actors creating and publishing data in languages otherthan English, as well as the amount of users that access this data and speaknative languages other than English is growing substantially. 	To provide an up-to-date, demanding benchmark that estab-lishes a standard against which question answering systems over structured datacan be evaluated and compared.  	Manually created dataset of the QALD-JSON format with questions translated in multiple languages	English, Spanish, German, Italian, French, Dutch	DBpedia, MusicBrainz	QALD-3	Precision, Recall, F1 Score	Python	Emphasize further aspects of question answering over linked data, such as the need to deal with a variety of interconnecteddatasets as well as hybrid sources of information (structured RDF data and un-structured text), Biomedical domain	https://github.com/ag-sc/QALD/tree/master/3		Small dataset size 150 questions in total
Ricardo Usbeck Axel-Cyrille Ngonga Ngomo Bastian Haarmann Anastasia Krithara Michael Röder Giulio Napolitano	7th Open Challenge on Question Answering over Linked Data (QALD-7)	The past years have seen a growing amount of research on question answering (QA) over Semantic Web data, shaping an interaction paradigm that allows end users to profit from the expressive power of Semantic Web standards while, at the same time, hiding their complexity behind an intuitive and easy-to-use interface. On the other hand, the growing amount of data has led to a heterogeneous data landscape where QA systems struggle to keep up with the volume, variety and veracity of the underlying knowledge.	2017	https://doi.org/10.1007/978-3-319-69146-6_6	Springer	TRUE	ESWC 2017	Dataset	The key challenge lies in translating the users’ information needs into a form such that they can be evaluated using standard Semantic Web query processing and inferencing techniques. To this end, systemshave to deal with a heterogeneous, distributed and very large set of highly in-terconnected data. multilinguality has become an issue of major interest for the Semantic Web community, as both the number of actors creating and publishing data in languages otherthan English, as well as the amount of users that access this data and speaknative languages other than English is growing substantially. 	To provide an up-to-date, demanding benchmark that estab-lishes a standard against which question answering systems over structured datacan be evaluated and compared.  	Manually created dataset of the QALD-JSON format with questions translated in multiple languages	English, Spanish, German, Italian, French, Dutch, Romanian, Farsi	DBpedia	QALD-7	Micro/Macro Precision, Recall, F1 Score	Gerbil	Offer leader boards prior to the actual challenge	https://github.com/ag-sc/QALD/tree/master/7		Small dataset size 275 questions in total
Nitish Aggarwal Tamara Polajnar Paul Buitelaar	Cross-Lingual Natural Language Querying over the Web of Data		2013	https://doi.org/10.1007/978-3-642-38824-8_13	Springer	FALSE														
Christina Unger Axel-Cyrille Ngonga Ngomo Elena Cabrio	6th Open Challenge on Question Answering over Linked Data (QALD-6)	The past years have seen a growing amount of research on question answering over Semantic Web data (for an overview see [1]), shaping an interaction paradigm that allows end users to profit from the expressive power of Semantic Web standards while at the same time hiding their complexity behind an intuitive and easy-to-use interface.	2016	https://doi.org/10.1007/978-3-319-46565-4_13	Springer	TRUE	SemWebEval 2016	Dataset	Given the diversity of languages used on the web, there is an impeding need to facilitate multilingual access to semantic data. 	To provide an up-to-date, demanding benchmark that estab-lishes a standard against which question answering systems over structured datacan be evaluated and compared.  	Manually created dataset of the QALD-JSON format with questions translated in multiple languages	English, Spanish, German, Italian, French, Dutch, Romanian, Farsi	DBpedia	QALD-6	Micro/Macro Precision, Recall, F1 Score			https://github.com/ag-sc/QALD/tree/master/6		Small dataset size 350 questions in total
Sherzod Hakimov Soufian Jebbara Philipp Cimiano	AMUSE: Multilingual Semantic Parsing for Question Answering over Linked Data	The task of answering natural language questions over RDF data has received wide interest in recent years, in particular in the context of the series of QALD benchmarks. The task consists of mapping a natural language question to an executable form, e.g. SPARQL, so that answers from a given KB can be extracted. So far, most systems proposed are (i) monolingual and (ii) rely on a set of hard-coded rules to interpret questions and map them into a SPARQL query. We present the first multilingual QALD pipeline that induces a model from training data for mapping a natural language question into logical form as probabilistic inference. In particular, our approach learns to map universal syntactic dependency representations to a language-independent logical form based on DUDES (Dependency-based Underspecified Discourse Representation Structures) that are then mapped to a SPARQL query as a deterministic second step. Our model builds on factor graphs that rely on features extracted from the dependency graph and corresponding semantic representations. We rely on approximate inference techniques, Markov Chain Monte Carlo methods in particular, as well as Sample Rank to update parameters using a ranking objective. Our focus lies on developing methods that overcome the lexical gap and present a novel combination of machine translation and word embedding approaches for this purpose. As a proof of concept for our approach, we evaluate our approach on the QALD-6 datasets for English, German & Spanish.	2017	https://doi.org/10.1007/978-3-319-68288-4_20	Springer	TRUE	ISWC 2017	System	An important challenge in mapping natural language questions to SPARQL queries lies in overcoming the so called ‘lexical gap’. The lexical gap is only exacerbated when consIdering multiple languages as we face a cross-lingual gap that needs to be bridged.	Probabilistic inference to perform structured prediction in the search space of possible SPARQL queries to predict the query that has the highest probability of being the correct interpretation of the given query string. The inference process builds on approximate inference techniques, Markov Chain Monte Carlo in particular, to assign knowledge base (KB) Identifiers as well as meaning representations to every node in a dependency tree representing the syntactic dependency structure of the question. On the basis of these assigned meaning representations to every node, a full semantic representation can be computed relying on bottom-up semantic composition along the parse tree.	Approach consists of two inference layers which we call L2KB and QC. Each of these layers consists of a different factor graph optimized for different subtasks of the overall task. The first inference layer is trained using an entity linking objective that learns to link parts of the query to KB Identifiers. In particular, this inference step assigns KB Identifiers to open class words such as nouns, proper nouns, adjectives and verbs etc. The second inference layer is a query construction layer that takes the top k results from the L2KB layer and assigns semantic representations to closed class words such as question pronouns, determiners, etc. to yield a logical representation of the complete question. Final result is the SPARQL query	English, German, Spanish	DBpedia	QALD-6	Macro F1 score	Universal Dependencies, Java	Handle questions with other filtering operations	https://github.com/ag-sc/AMUSE		Relies on semantic parsing tree from which the queries are being generated, seems more or less template rule-based generation process, which is not very flexible
Ricardo UsbeckMichael RöderPeter HaaseArtem KozlovMuhammad SaleemAxel-Cyrille Ngonga Ngomo	Requirements to Modern Semantic Search Engine		2016	https://doi.org/10.1007/978-3-319-45880-9_25	Springer	FALSE														
Dennis Diefenbach José Giménez-García Andreas Both Kamal Singh Pierre Maret	QAnswer KG: Designing a Portable Question Answering System over RDF Data		2020	https://doi.org/10.1007/978-3-030-49461-2_25	Springer	TRUE	ESWC 2020	System												Same as row 8
Nitish Aggarwal	Cross Lingual Semantic Search by Improving Semantic Similarity and Relatedness Measures	Since 2001, the semantic web community has been working hard towards creating standards which will increase the accessibility of available information on the web. Yahoo research recently reported that 30% of all HTML pages contain structured data such as microdata, RDFa, or microformat. Although multilinguality of the web is a hurdle in information access, the rapid growth of the semantic web enables us to retrieve fine grained information across the language barrier. In this thesis, firstly, we focus on developing a methodology to perform cross-lingual semantic search over structured data (knowledge base), by transforming natural language queries into SPARQL. Secondly, we focus on improving the semantic similarity and relatedness measures, to overcome the semantic gap between the vocabulary in the knowledge base and the terms appearing in the query. The preliminary results are evaluated against the QALD-2 test dataset, which achieved a F1 score of 0.46, an average precision of 0.44, and an average recall of 0.48.	2012	https://doi.org/10.1007/978-3-642-35173-0_26	Springer	TRUE	ISWC 2012	System	The rapid growth of the semantic web offers a wealth of semantic knowledge for facilitating an interactive way to access the information, by providing structured metadata in a standard format such as microdata, RDFa or microformat. People desire to access the multilingual information available on the web, while querying in their native language. The poor accuracy of translation of short texts like queries, poses a certain problem	To address this issue, we present crosslingual semantic search, which aims to retrieve all the relevant information even if it is available in languages different from the query language. Using large knowledge bases as an interlingua may prove beneficial.	Interpretation of NL-queries in different languages, driven by the traversal over the large structured knowledge base, and construction of the corresponding SPARQL query. Entity search (with exact match), linguistic analysis (semantic parse tree), KG traversing for relation detection with Explicit Semantic Analysis and Word-Net based Lin	English, German	DBpedia	QALD-2	Precision, Recall, F1 score	Stanford Parser, Java	Improving the existing semantic relatedness measures			The semantic relatedness is corpus based, nowadays it could be improved with neural language models.
Mariana Damova Dana Dannélls Ramona Enache Maria Mateva Aarne Ranta	Multilingual Natural Language Interaction with Semantic Web Knowledge Bases and Linked Open Data	This chapter presents a novel approach to Semantic Web technologies with the cultural heritage domain as a use case. Semantic Web technologies offer the technological backbone to meet the requirement of integrating heterogeneous data, but they are still more adapted to be consumed by computers rather than by humans. This chapter describes a method that allows interaction with semantic knowledge bases in natural language . The proposed method enables querying a semantic repository in natural language and obtaining results from it as a coherent text. The solution involves a conversion from natural language to SPARQL on one hand and from a set of Resource Description Framework (RDF) triples to coherent natural language descriptions in multiple languages on the other. The conversions are implemented in the Grammatical Framework (GF) . The semantic knowledge infrastructure in RDF is based on OWLIM-SE and the data integration method reason-able view supplied with an ontological reference layer. The latter is connected via formal rules to a semantic representation layer and to a syntactic representation layer using GF. The resulting demonstration is a system that supports querying and text generation in 15 languages.	2014	https://doi.org/10.1007/978-3-662-43585-4_13	Springer	TRUE	Chapter of a Book 2014	System	TODO: get pdf							Grammatical Framework (GF) 				
